Town,Pop(Townland),Popo(ED),Pop,OnePerson,CoupleWithoutChildren,CoupleWithChildren,SingleParent,OtherFamily,RA<16,RA16-34,RA35-49,RA50-64,RA65+,HA<1919,HA19-60,HA61-80,HA81-20,HA>20,Not Stated,House,Apt,OtherHouse
Balbriggan,3619,24577,24577,20,17,38,16,9,31,29,24,11,5,2,5,15,19,53,6,81,16,3
Baldoyle,5016,14167,14167,20,23,35,11,11,20,28,23,16,13,3,10,38,21,24,4,84,15,1
Balrothery,720,NA,720,18,60,40,17,9,34,31,24,8,3,1,1,7,16,70,5,80,17,3
Blanchardstown,7491,104539,104539,20,22,31,9,18,20,34,21,12,13,1,6,24,17,46,6,54,43,3
Castleknock,8059,35002,35002,16,27,37,7,13,14,37,16,22,11,1,4,36,26,30,3,70,29,1
Clonee,9500,NA,9500,16,17,47,9,11,26,28,24,14,8,3,7,17,39,31,3,86,13,1
Clonsilla,7136,NA,7136,14,13,38,18,17,26,32,22,15,5,1,2,31,34,24,9,85,12,3
Donabate,162,9516,9516,19,18,45,10,8,30,22,30,12,6,3,5,10,42,36,4,82,16,2
Howth,5577,14565,14565,22,29,34,8,7,18,20,20,20,22,15,16,39,18,9,3,87,12,1
Kinsealy,996,19395,19395,20,23,34,11,12,24,37,25,9,5,9,3,4,25,62,5,67,31,2
Lusk,6714,9551,9551,14,20,46,10,10,29,28,26,11,6,3,4,14,18,56,5,93,5,2
Malahide,6037,17940,17940,21,27,36,7,9,20,25,22,19,14,3,9,28,23,32,5,73,25,2
Mulhuddart,NA,26143,26143,15,14,43,13,15,29,32,25,11,3,0,1,18,41,33,7,86,12,2
Naul,358,NA,358,13,21,50,8,8,28,25,26,13,8,7,7,13,19,51,3,96,3,1
Oldtown,2240,NA,2240,16,18,42,15,9,27,24,24,15,10,8,13,11,29,37,2,98,0,2
Portmarnock,2059,9760,9760,20,28,37,6,9,16,29,19,23,13,1,8,52,8,27,4,72,27,1
Portrane,776,NA,776,19,18,45,10,8,30,22,3,30,12,6,3,5,10,42,36,4,82,14
Rush,9921,9921,9921,16,19,44,11,10,27,26,25,14,8,3,7,17,33,35,5,93,6,1
Santry,5619,NA,5619,25,20,27,10,18,17,29,20,16,18,0,38,31,16,8,7,91,6,3
Skerries,NA,8501,8501,21,17,41,13,8,27,22,25,16,10,9,8,23,39,18,3,91,9,0
Sutton,1582,7216,7216,22,28,33,9,8,18,21,20,20,21,10,12,50,18,7,3,90,9,1
Swords,1677,54886,54886,16,18,40,11,15,24,32,24,14,6,0,3,24,38,28,6,86,12,2
